genes	logFC	logCPM	F	PValue	FDR
AT5G20900	144269492.811849	7.65917968997888	3074.59868404179	1.70770838469067e-07	0.00114308242479296
AT3G14350	144269491.675008	6.52790544436924	2450.80128552133	2.82696284108559e-07	0.00114308242479296
AT4G27800	144269491.232772	6.08933184463246	1885.83786965298	5.06048037239311e-07	0.0013641368257181
AT1G01910	-144269490.991944	5.8501335496081	1322.66022711387	1.11246321758606e-06	0.00200062331556635
AT5G05980	-144269491.314552	6.16964136327571	1260.93947496335	1.2369378728616e-06	0.00200062331556635
AT1G17060	144269490.365492	5.23334508277754	967.014004373951	2.22861347610726e-06	0.00251527781030841
AT3G55830	144269490.762591	5.62452122199324	964.397713136397	2.24204108163972e-06	0.00251527781030841
AT1G51590	144269490.489436	5.35534652859348	920.12836125429	2.48821843482964e-06	0.00251527781030841
AT5G06410	144269490.025602	4.90002811006023	713.604073502275	4.36988336796227e-06	0.00330427629113504
AT1G09390	144269490.0593	4.93317855763619	703.248753882895	4.51363069984475e-06	0.00330427629113504
AT4G02720	-5.45504997022642	7.2992884826262	204.483937651708	4.72622706907362e-06	0.00330427629113504
AT5G03420	144269490.171275	5.04264205507231	677.44315353483	4.90309329709663e-06	0.00330427629113504
AT1G04910	-144269489.803956	4.68178683654464	540.079753530638	8.09423825402275e-06	0.00469095927763181
AT4G03150	144269489.540751	4.42769719879022	525.670340884292	8.59280089073865e-06	0.00469095927763181
AT2G34420	1.2945138130486	7.45044436854629	159.245141902607	8.70092607449946e-06	0.00469095927763181
AT3G13070	144269489.690163	4.57276324867109	476.41754406565	1.0678952898319e-05	0.0053975432555441
AT1G11820	144269491.535599	6.38954861921596	462.221561582421	1.14166627340603e-05	0.0054309736194321
AT5G04240	144269488.952516	3.86136571469618	347.852622185681	2.13686894311575e-05	0.0096004773016539
AT1G29920	1.43551206560906	8.06257658526871	113.67318780235	2.47006948182746e-05	0.0105133957365993
ATCG00010	0.954708063983377	8.20832198664254	109.509610579195	2.76990185228849e-05	0.0112000981397285
AT5G24380	-144269489.303082	4.19525264760932	258.026994340227	4.12055968080593e-05	0.015868079113656
AT4G03620	144269488.547843	3.47690534070553	213.563696117046	6.23598169606711e-05	0.0229229018073158
AT2G44140	2.18743405789095	8.25178996346917	82.1279221424315	6.65026948220873e-05	0.0233829257837487
AT3G47470	1.5847693454212	5.90651146816305	78.9076450635726	7.50249975408381e-05	0.0252802981296982
AT3G54500	0.649500077700449	10.846175957052	72.4395234829393	9.69846648631573e-05	0.0298729531135609
AT2G30760	-1.54735503150005	6.82193056635554	71.8294504868622	9.9470099332119e-05	0.0298729531135609
AT4G17090	-0.723241649395033	10.0684211513146	71.3113773638296	0.000101646636832659	0.0298729531135609
AT5G19140	0.811504168595101	8.36900445994131	70.8974842301691	0.000103430528895722	0.0298729531135609
AT3G03145	1.59577228773003	5.07173162375264	62.6628902469731	0.000149323506216014	0.0416406618885831
AT5G15843	-2.53095326893826	3.86071649577744	58.7649844662004	0.000180493565467388	0.0486550487978255
AT2G08665	0.83022652196805	16.0365520240343	55.5837109398415	0.000212541526151159	0.0554459136124008
AT1G49205	-0.882498142951444	9.65126528081959	53.9906617046906	0.00023141360387936	0.058482556705387
ATCG00020	4.25820859194438	6.14419746529541	56.9570392399561	0.000277706514627779	0.0680549267816621
AT5G45820	1.79277964561791	4.07997580296114	48.8124647560214	0.00031023983164271	0.0737914564263115
AT4G05690	-0.752876885884581	7.10592186762	46.909846217707	0.00034797350988467	0.0793803385408878
AT1G62170	-0.986737389414256	5.84089667283531	46.659929123289	0.000353368639479654	0.0793803385408878
AT2G30766	-1.23486274962657	8.03483980626202	44.2044939276413	0.000412697803917655	0.0902023551427587
AT3G08405	0.585963908648681	9.09330058095357	43.1011992516719	0.000443618528586699	0.0944090273863326
AT1G55673	0.465255500432514	14.5008284568714	40.0968395492541	0.000544758319386596	0.112960526381523
AT4G06665	-0.702886576802748	12.6751729725265	37.9815096701242	0.000634749936028224	0.12377465270631
AT3G46668	-0.641657161165842	7.28732733503269	37.9418144933607	0.000636618593494116	0.12377465270631
AT2G05100	0.763443935836912	6.8916601685837	37.8110373593471	0.000642826191871524	0.12377465270631
AT3G16785	1.36180567577877	5.26666826157298	35.8364740625204	0.000746994832756674	0.138166085553507
AT3G54890	1.10261796345684	6.16245906338567	35.7525758673893	0.000751895530083225	0.138166085553507
AT1G62180	-1.01657512485731	8.30395622731981	35.2711475097923	0.000780847282368745	0.138166085553507
AT4G15780	1.72925687445179	4.1753000026643	35.1893915971977	0.000785908239824572	0.138166085553507
AT1G49200	-0.807770157925551	7.36251132110769	34.884490957995	0.000805166201770127	0.138539980291809
AT1G23550	-144269487.53262	2.537640308968	64.2399734024094	0.000828442975283383	0.139575382106598
ATCG00090	0.945511846815838	5.80543032031649	33.8911890143206	0.000872360871684329	0.143067596309101
AT2G41430	1.54420404293826	4.00208478983832	33.7216927335095	0.000884552963454317	0.143067596309101
AT1G29910	1.17259212665621	6.42895683885008	32.8159104171686	0.000953638744266946	0.151217186762486
AT3G46900	-1.10912745217508	5.43283872913705	31.4765743892355	0.00106935234219881	0.164120532162625
AT4G02725	0.535304021362828	9.88808155106301	31.2466478654218	0.00109103904135987	0.164120532162625
AT3G01505	-0.490070482565065	10.1765210832391	31.1959765997989	0.00109589572607664	0.164120532162625
AT1G11270	144269487.456904	2.47613939963592	55.3148631799706	0.00113329905459541	0.164737688447447
AT1G20620	1.063503236564	5.54436600124676	30.6504229815557	0.00115002636387256	0.164737688447447
ATCG00390	0.948199037194112	8.02266503023111	30.5426806150086	0.00116112875497768	0.164737688447447
AT3G07365	3.27982311590841	4.56166907170232	29.6114829161049	0.00126320135161772	0.173948434074854
AT4G38300	-0.936479994653083	6.48235504834196	29.5609732831583	0.00126906858048923	0.173948434074854
AT5G06385	-1.23524883652919	7.87640780422534	29.2348582987822	0.00130782357301605	0.176272820583014
AT1G08477	-1.0174926010493	11.240850842524	28.6172817711904	0.00138557238340724	0.183690555157613
AT3G07390	0.818981753460734	5.84482638503227	27.9582017893639	0.00147537169433717	0.192440820840398
AT3G01485	-0.743405300389291	7.53795392992949	27.0230665720664	0.00161634799297323	0.206931980058732
AT2G05070	1.22040706678945	5.76249225619638	26.7512162705129	0.00166062294113087	0.206931980058732
AT4G34100	144269487.462775	2.48299153388005	45.9682460834506	0.0016632346610384	0.206931980058732
AT5G45930	-0.755498552718217	5.46239845434343	26.5300558932749	0.00169782227612225	0.208034677984858
AT1G35680	144269487.445006	2.4656694745243	45.1051075714374	0.00172939343271512	0.208740368512942
AT4G16500	0.972542981910747	5.67811851654847	25.858351496438	0.00181772090769149	0.212977527707484
AT1G06040	0.55253032353653	9.96336979507378	25.7917670398392	0.00183020378024582	0.212977527707484
AT3G04550	-0.671075873051945	7.22595559607206	25.6665586220245	0.00185398326228084	0.212977527707484
AT2G25930	-0.729608572235507	6.74610283189633	25.5842257671594	0.00186984103712518	0.212977527707484
ATCG00070	1.15575962378657	5.2866734510565	25.0967352821713	0.00196747404915521	0.220985592159975
AT2G03410	-0.469970840501393	8.67480311625121	24.7193612004691	0.00204769033186616	0.226844817997283
AT3G63160	-1.60446048554487	4.35471962595148	24.4872760224345	0.00209916264832237	0.229404436986257
AT1G68872	144269487.580347	2.58372767299545	40.0049191622077	0.00221082355574541	0.23391371808754
AT4G04330	-0.758431472429467	5.17867985928674	23.8615506723668	0.00224666092236381	0.23391371808754
AT2G45685	-0.509658693928054	9.61983235671285	23.6627303892855	0.00229636249686057	0.23391371808754
AT2G23672	-0.477412474155863	10.5988380488753	23.6576987958719	0.00229763892967572	0.23391371808754
AT3G04790	-0.422859175692924	8.97121436343731	23.3927955441562	0.00236617580985707	0.23391371808754
AT3G01142	-0.534485244704654	7.25139690301404	23.3181448406196	0.00238597300089474	0.23391371808754
AT4G28080	-0.361409642266557	10.9389853122795	23.3175204526856	0.00238613950165385	0.23391371808754
AT3G21750	-0.661367821048456	7.62836501270656	23.2667139618586	0.00239973891397855	0.23391371808754
AT1G67740	0.867051973802332	5.99879794897381	23.2629639595601	0.00240074670474414	0.23391371808754
AT3G46030	1.21263236935155	4.26856044199109	23.0022413700016	0.00247219717066996	0.23800783951438
AT1G66830	-0.387882140309723	8.59906754717905	22.8308704099873	0.00252068611800533	0.239821042780107
AT3G08350	-0.663739634369851	6.29144207397243	22.3072365789164	0.00267679830079252	0.251712416959408
AT3G61460	-0.928916779113014	4.59727420216336	22.0075872359536	0.00277186837490397	0.257656316641936
AT1G05557	-0.821761319546148	6.43501272490587	21.5233349310873	0.002935090523252	0.269728148426578
